"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1939","should register a lead in the waiting queue.","chromium","2026-04-12","passed","2026-04-12","Leads - public registration","e2e/leads.spec.js","",""
"","1074","should not register a tv show with blank fields","chromium","2026-04-12","passed","2026-04-12","","e2e/tvshows.spec.js","",""
"","959","should not login with blank email and password","chromium","2026-04-12","passed","2026-04-12","","e2e/login.spec.js","",""
"","1330","should do a search for the name ""morto""","chromium","2026-04-12","passed","2026-04-12","","e2e/movies.spec.js","",""
"","1010","sould verify if seasons field is numeric","chromium","2026-04-12","passed","2026-04-12","","e2e/tvshows.spec.js","",""
"","951","should not login with blank password","chromium","2026-04-12","passed","2026-04-12","","e2e/login.spec.js","",""
"","1645","should search lead by email","chromium","2026-04-12","passed","2026-04-12","Leads - admin management","e2e/leads.spec.js","",""
"","1048","should login with admin credentials","chromium","2026-04-12","passed","2026-04-12","","e2e/login.spec.js","",""
"","963","should not login with invalid email format","chromium","2026-04-12","passed","2026-04-12","","e2e/login.spec.js","",""
"","1340","should remove a movie from the catalog","chromium","2026-04-12","passed","2026-04-12","","e2e/movies.spec.js","",""
"","2307","should show no results when searching for a lead that does not exist","chromium","2026-04-12","passed","2026-04-12","Leads - admin management","e2e/leads.spec.js","",""
"","1763","should not register a lead with blank name","chromium","2026-04-12","passed","2026-04-12","Leads - public registration","e2e/leads.spec.js","",""
"","1016","should verify if the movie is featured","chromium","2026-04-12","passed","2026-04-12","","e2e/movies.spec.js","",""
"","1498","should not register when an email exists.","chromium","2026-04-12","passed","2026-04-12","Leads - public registration","e2e/leads.spec.js","",""
"","1393","should not register a lead with blank email","chromium","2026-04-12","passed","2026-04-12","Leads - public registration","e2e/leads.spec.js","",""
"","1868","should do a search for name ""zombie""","chromium","2026-04-12","passed","2026-04-12","","e2e/tvshows.spec.js","",""
"","987","should verify if tv show is featured","chromium","2026-04-12","passed","2026-04-12","","e2e/tvshows.spec.js","",""
"","1373","should not register a lead with invalid email","chromium","2026-04-12","passed","2026-04-12","Leads - public registration","e2e/leads.spec.js","",""
"","2102","should display a registered lead","chromium","2026-04-12","passed","2026-04-12","Leads - admin management","e2e/leads.spec.js","",""
"","1489","should register a new movie","chromium","2026-04-12","passed","2026-04-12","","e2e/movies.spec.js","",""
"","1323","should do a search with no results","chromium","2026-04-12","passed","2026-04-12","","e2e/movies.spec.js","",""
"","994","should not login with blank email","chromium","2026-04-12","passed","2026-04-12","","e2e/login.spec.js","",""
"","1691","should do a search with no results","chromium","2026-04-12","passed","2026-04-12","","e2e/tvshows.spec.js","",""
"","1886","should remove a tv show from the catalog","chromium","2026-04-12","passed","2026-04-12","","e2e/tvshows.spec.js","",""
"","1543","should register a new tv show","chromium","2026-04-12","passed","2026-04-12","","e2e/tvshows.spec.js","",""
"","2884","should remove a lead","chromium","2026-04-12","passed","2026-04-12","Leads - admin management","e2e/leads.spec.js","",""
"","1368","should not register a lead when all fields are blank","chromium","2026-04-12","passed","2026-04-12","Leads - public registration","e2e/leads.spec.js","",""
"","1683","should not register a duplicate movie","chromium","2026-04-12","passed","2026-04-12","","e2e/movies.spec.js","",""
"","1045","should not register a movie with blank fields","chromium","2026-04-12","passed","2026-04-12","","e2e/movies.spec.js","",""
"","1091","should not login with invalid email","chromium","2026-04-12","passed","2026-04-12","","e2e/login.spec.js","",""
"","1175","should not login with invalid password","chromium","2026-04-12","passed","2026-04-12","","e2e/login.spec.js","",""
"","1493","should not register a duplicate tv show","chromium","2026-04-12","passed","2026-04-12","","e2e/tvshows.spec.js","",""
